site,block,ID,trt,rack,cone,stem_diam_mm,longest_leaf_mm,ll_cotyl,height_cm,number_true_leaves,number_cotyledons,pick_type,notes,variable1,day,type,full_name,seed_year,lat,long,elev_m
LV3,B1,D2-S2-1,6,C9,94,0.26,11,NA,1.6,6,2,OP,NA,0.740881166,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D2-S1-6,6,C9,95,0.4,11,NA,2,6,2,OP,NA,0.154141275,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S2-7,6,C9,96,0.51,8,NA,1.5,6,2,OP,NA,0.7173555,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D2-S1-1,6,C9,97,0.42,11,NA,1.1,4,2,WP,NA,0.986872929,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D2-S2-4,6,C9,98,0.49,15,NA,2.6,6,2,OP,NA,0.586246225,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B3,D1-S2-6,6,C10,1,0.42,13,NA,1.4,7,2,WP,NA,0.161977437,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D1-S2-4,6,C10,2,0.32,8,NA,0.9,4,2,OS,NA,0.364228183,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D2-S1-10,6,C10,3,0.46,11,NA,1.1,5,1,YP,NA,0.786853229,1,yellow toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D1-S1-3,6,C10,4,0.36,9,NA,1.7,4,2,GP,NA,0.796373683,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D1-S2-10,6,C10,5,0.33,14,NA,3.9,5,2,OP,NA,0.631672758,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S1-9,6,C10,6,0.53,12,NA,2.1,5,2,GP,NA,0.092589211,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D2-S1-1,6,C10,7,0.24,7,NA,0.6,4,0,OP,NA,0.275945468,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S2-5,6,C10,8,0.34,14,NA,2.1,6,2,YP,NA,0.009233279,1,yellow toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D1-S2-4,6,C10,9,0.34,11,NA,1.5,7,2,WP,NA,0.085328974,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D2-S2-2,6,C10,10,0.27,9,NA,2.2,6,2,OP,NA,0.417552072,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D2-S2-2,6,C10,11,0.27,11,NA,2.9,6,2,OP,NA,0.567610032,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B3,D1-S1-6,6,C10,12,0.38,11,NA,2.5,6,2,BP,NA,0.595580731,4,blue toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B1,D1-S1-7,6,C10,13,0.37,12,NA,2.4,5,2,GP,NA,0.678462586,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B1,D2-S2-8,6,C10,14,0.42,10,NA,1.5,6,2,OP,NA,0.011103442,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B3,D1-S2-7,6,C10,15,0.54,12,NA,2.3,7,2,WP,NA,0.778718953,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D2-S1-10,6,C10,16,0.52,9,NA,0.9,5,2,WP,NA,0.413875079,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B3,D2-S1-5,6,C10,17,0.69,13,NA,2.2,6,2,WP,NA,0.668233156,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D2-S1-10,6,C10,18,0.51,15,NA,3.6,5,2,OS,NA,0.004458363,5,orange sword,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D2-S2-1,6,C10,19,0.31,12,NA,2.1,5,2,YP,NA,0.351857357,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D1-S2-8,6,C10,20,0.17,11,NA,1.6,5,1,OP,NA,0.426266896,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D1-S1-6,6,C10,21,0.32,8,NA,1.2,4,2,OP,NA,0.550084552,2,orange toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D1-S2-10,6,C10,22,0.49,14,NA,3.4,6,2,GP,NA,0.898064834,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B2,D1-S2-10,6,C10,23,0.36,8,NA,1,5,2,OS,NA,0.447424092,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
WL1,B1,D1-S2-6,6,C10,24,0.24,10,NA,1.7,5,2,WP,NA,0.824191682,3,white toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
LV3,B2,D2-S2-4,6,C10,25,0.24,11,NA,2.1,6,2,WP,NA,0.911829704,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D1-S2-6,6,C10,26,0.28,13,NA,4.1,5,2,OS,NA,0.446750776,5,orange sword,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S2-10,6,C10,28,0.21,8,NA,1.1,4,2,BP,NA,0.233522025,4,blue toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B1,D2-S2-5,6,C10,29,0.6,14,NA,3.1,6,2,GP,NA,0.176848083,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B3,D1-S2-9,6,C10,30,0.33,15,NA,0.9,6,1,OP,NA,0.046305003,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D2-S1-9,6,C10,31,0.32,10,NA,3,6,1,GP,NA,0.476238463,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D2-S2-4,6,C10,32,0.44,10,NA,2.2,6,2,OP,NA,0.375073824,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D1-S1-2,6,C10,33,0.28,10,NA,2,5,2,WP,NA,0.846146985,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B1,D1-S1-8,6,C10,34,0.48,11,NA,2.2,6,2,WP,NA,0.448761737,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D1-S1-4,6,C10,35,0.2,10,NA,1.2,5,0,GP,NA,0.763310342,0,green toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S1-6,6,C10,36,0.52,14,NA,1.5,5,2,OP,NA,0.2256748,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D2-S2-4,6,C10,37,0.54,12,NA,1,5,2,PS,NA,0.205869962,8,pink sword,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D2-S1-2,6,C10,38,0.58,13,NA,3.8,6,0,OP,NA,0.234024371,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D2-S1-2,6,C10,39,0.18,12,NA,3.5,5,2,BS,NA,0.416453504,6,blue sword,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D1-S2-2,6,C10,40,0.39,12,NA,4.5,6,2,GP,NA,0.995539038,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B2,D2-S1-4,6,C10,41,0.29,9,NA,0.9,4,2,BP,NA,0.35942166,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D2-S1-1,6,C10,42,0.17,9,NA,1.6,5,2,OS,NA,0.628903615,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B3,D2-S1-3,6,C10,43,0.57,12,NA,1.9,7,2,WP,NA,0.747436409,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B2,D1-S2-2,6,C10,44,0.39,13,NA,3,7,2,WP,NA,0.693160889,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D2-S2-9,6,C10,45,0.36,11,NA,3,6,0,GP,NA,0.116895475,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B3,D1-S2-4,6,C10,46,0.36,9,NA,2.1,5,2,OS,NA,0.191228081,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B2,D2-S2-3,6,C10,47,0.28,10,NA,2.6,5,0,GP,NA,0.568914963,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B1,D1-S2-7,6,C10,48,0.44,8,NA,1.7,6,2,OS,NA,0.465733797,5,orange sword,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D1-S2-1,6,C10,49,0.22,10,NA,1.1,6,2,OS,NA,0.834279197,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D1-S1-10,6,C10,50,0.79,17,NA,5.7,7,2,GP,NA,0.890368887,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B1,D1-S2-9,6,C10,51,0.29,15,NA,1.3,6,2,OP,NA,0.148769392,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
WL1,B1,D1-S2-2,6,C10,52,0.32,15,NA,2.5,5,2,YP,NA,0.572051958,1,yellow toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
WL1,B2,D1-S2-2,6,C10,53,0.33,16,NA,2.1,6,2,GP,NA,0.45109922,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B3,D2-S2-2,6,C10,54,0.55,13,NA,1,7,2,OS,NA,0.664792442,5,orange sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B3,D2-S2-4,6,C10,55,0.48,12,NA,2.1,7,2,OP,NA,0.892848695,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D2-S1-8,6,C10,56,0.67,16,NA,3.6,6,2,GP,NA,0.828738461,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D2-S2-2,6,C10,57,0.77,16,NA,3.8,7,0,OP,NA,0.450821964,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B3,D2-S1-3,6,C10,58,0.22,8,NA,1.3,4,2,NA,NA,0.396109066,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D1-S1-2,6,C10,59,0.49,17,NA,4,6,2,GP,NA,0.374296301,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D2-S2-9,6,C10,60,0.54,15,NA,4.2,6,2,GP,NA,0.096038251,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B2,D2-S1-3,6,C10,61,0.52,16,NA,2.8,6,2,OP,NA,0.724891691,2,orange toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B2,D2-S1-2,6,C10,62,0.44,12,NA,1,5,2,RS,NA,0.336841737,7,red sword,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S2-5,6,C10,63,0.41,11,NA,1.9,8,2,WP,NA,0.359614684,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B1,D1-S2-5,6,C10,64,0.3,11,NA,1.7,7,2,OP,NA,0.188529185,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B1,D2-S2-10,6,C10,65,0.6,19,NA,4.2,6,2,OP,NA,0.519279298,2,orange toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D1-S2-3,6,C10,66,0.28,20,NA,3.1,6,0,GP,NA,0.629279729,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D1-S1-9,6,C10,67,0.39,20,NA,4.4,6,2,GP,NA,0.720623314,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B3,D2-S1-1,6,C10,68,0.47,13,NA,1.9,7,2,OP,NA,0.498308095,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
DPR,B1,D2-S2-7,6,C10,69,0.43,20,NA,2.5,7,2,YP,NA,0.22016362,1,yellow toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D2-S1-1,6,C10,70,0.45,21,NA,5.2,7,1,GP,NA,0.421205426,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D2-S2-2,6,C10,71,0.52,15,NA,4.1,7,0,GP,NA,0.930429337,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
SQ3,B1,D1-S2-4,6,C10,72,0.35,11,NA,1.5,7,2,OP,NA,0.619629511,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D2-S2-1,6,C10,73,0.11,12,NA,3.9,4,2,GP,NA,0.558253068,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B2,D1-S1-9,6,C10,74,0.23,13,NA,1.7,4,2,OS,NA,0.627924212,5,orange sword,Wright's Lake 1,2019,38.78608,-120.2143,1680
DPR,B2,D2-S1-10,6,C10,75,0.46,18,NA,4,6,2,GP,NA,0.926981793,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
LV3,B2,D1-S1-3,6,C10,76,0.61,12,NA,2.3,7,2,WP,NA,0.426702895,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D2-S1-7,6,C10,77,0.63,20,NA,3.1,9,1,WP,NA,0.670385461,3,white toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S2-10,6,C10,78,0.21,6,NA,0.4,4,2,NA,NA,0.357230269,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D1-S1-3,6,C10,79,0.36,14,NA,2.5,11,2,OP,NA,0.771432128,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B3,D1-S1-10,6,C10,80,0.52,12,NA,1.8,6,1,OP,NA,0.27929043,2,orange toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D2-S1-8,6,C10,81,0.34,15,NA,1.9,7,2,NA,NA,0.27628737,NA,NA,Sequoia 3,2017,36.72109,-118.84933,2350
LV3,B2,D2-S1-2,6,C10,82,0.55,15,NA,2.6,9,2,OP,NA,0.644512929,2,orange toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
LV3,B3,D2-S1-8,6,C10,83,0.69,11,NA,1.9,7,2,WP,NA,0.470669786,3,white toothpick,Lassen Volcanic 3,2018,40.4664,-121.52311,2440
SQ3,B3,D1-S2-4,6,C10,84,0.76,12,NA,1.2,7,0,BP,NA,0.69116158,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
DPR,B2,D2-S2-4,6,C10,85,0.66,13,NA,4.6,7,0,GP,NA,0.570394692,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B1,D2-S1-7,6,C10,86,0.33,13,NA,3,6,0,GP,NA,0.912881229,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
DPR,B2,D2-S2-6,6,C10,87,0.58,15,NA,6.1,5,2,GP,NA,0.965827141,0,green toothpick,Drum Powerhouse Road,2018,39.22846,-120.81518,1020
WL1,B1,D1-S1-8,6,C10,88,0.5,13,NA,3.3,5,2,GP,NA,0.982010675,0,green toothpick,Wright's Lake 1,2019,38.78608,-120.2143,1680
SQ3,B1,D2-S1-8,6,C10,89,0.39,22,NA,3.2,6,2,BP,NA,0.474810044,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B1,D2-S2-7,6,C10,90,0.45,8,NA,0.7,4,2,BP,NA,0.847415948,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
SQ3,B2,D1-S2-3,6,C10,91,0.43,10,NA,0.9,6,0,BP,NA,0.757242336,4,blue toothpick,Sequoia 3,2017,36.72109,-118.84933,2350
